Diameter,HMag,Albedo,Density,Strength,Alpha,Velocity,Angle,Azimuth, Latitude,Longitude,LumEff,Ablation,Altitude,GroundE,BlastRad1,BlastRad2,BlastRad4,BlastRad10,ThermRad2,ThermRad3,ThermRad4,ThermRad6,BlastPop1,BlastPop2,BlastPop4,BlastPop10,ThermPop2,ThermPop3,ThermPop4,ThermPop6,TsuWet,TsuCas,GlobalCas
40.31,26.1855,0.0363,3264.95,386300.0,0.1555,15908.0,49.93,105.6,71.3313,-116.537,0.02291,1.785e-08,24670.0,2.90402e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.02,24.0836,0.0158,2221.46,5357000.0,0.1284,15456.0,53.52,80.84,68.1358,-92.514,0.002974,1.843e-08,12790.0,8.93476e-05,111339.0,67840.3,40427.9,15587.8,17864.1,11124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156.96,22.4739,0.0731,2468.12,138800.0,0.2932,15637.0,38.75,121.39,66.5241,-86.1468,0.008511,1.322e-08,15770.0,0.00021029,82300.1,64775.2,37496.1,12852.8,34552.4,24697.6,13440.2,7200.0,1080.38,1080.38,1080.37,1031.13,1080.34,1067.06,1034.56,1017.8,0.0,0.0,0.0
114.32,23.2139,0.0697,2903.58,3381000.0,0.1946,12021.0,65.99,126.77,58.5812,-98.4165,0.0007049,1.63e-09,9660.0,0.0359411,88338.2,43335.9,24294.5,8839.36,0.0,0.0,0.0,0.0,347.665,347.665,347.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.74,20.6565,0.4011,1983.76,234400.0,0.2801,15252.0,13.37,2.26,15.006,35.7768,0.00362,2.317e-09,21390.0,0.000759552,70050.9,49989.2,24270.4,0.0,3991.43,0.0,0.0,0.0,657651.0,332832.0,47446.5,0.0,591.017,0.0,0.0,0.0,0.0,0.0,0.0
190.88,23.1593,0.0263,3035.26,652300.0,0.1466,18867.0,57.16,14.52,-19.2039,-43.868,0.001577,6.2e-10,6220.0,26.2874,185163.0,73575.3,41351.3,20821.6,25875.9,19567.6,13118.7,10433.8,9229030.0,1961420.0,62153.3,15537.2,20756.6,14801.8,4574.16,2001.22,0.0,0.0,0.0
6.64,27.7402,0.3198,3335.35,657600.0,0.2131,22696.0,57.9,28.6,-3.67907,30.7471,0.001265,4.243e-08,39460.0,8.07358e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175.81,22.4699,0.0585,2307.73,106300.0,0.2701,35349.0,48.49,94.6,-2.36855,-151.453,0.000516,3.245e-08,18560.0,0.0,280200.0,144310.0,93177.2,36700.0,9115.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.63,27.4642,0.0256,2110.07,8354000.0,0.227,17245.0,11.57,305.75,37.4477,173.432,0.0006875,1.172e-08,24890.0,2.22575e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.26,26.5635,0.2369,2928.27,5727000.0,0.2452,16656.0,61.9,346.89,-18.7164,-33.6415,0.02643,4.499e-08,25360.0,1.2721e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.64,26.3499,0.1459,3251.49,163100.0,0.2043,23074.0,8.09,137.92,-19.4106,-7.5715,0.009172,3.91e-08,46720.0,7.3499e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.93,26.1594,0.271,2303.71,7934000.0,0.2387,12973.0,62.99,122.38,-3.74242,158.112,0.02013,6.391e-09,20270.0,6.98696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.97,23.8671,0.1435,2601.6,2840000.0,0.1067,15485.0,15.73,332.83,0.660328,-162.963,0.00947,1.323e-08,27680.0,1.68674e-06,10752.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,27.318,0.2878,2460.43,2124000.0,0.265,23478.0,63.21,327.28,-13.9015,127.887,0.0005211,6.642e-09,32430.0,2.74835e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253.72,20.1556,0.2367,1667.65,2903000.0,0.2484,11811.0,58.54,267.39,21.0269,125.811,0.005694,2.639e-08,9870.0,0.020326,174192.0,97337.8,64155.4,25128.9,36760.3,27657.3,18268.9,14296.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.54,28.1781,0.0707,1922.71,563900.0,0.2551,17579.0,50.65,88.85,-49.5416,-126.592,0.005587,1.591e-09,34380.0,3.35228e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.51,25.2921,0.1542,1548.71,5853000.0,0.105,16970.0,50.6,354.76,35.8691,-14.0257,0.01292,1.923e-08,25430.0,2.9138e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.62,28.1128,0.1347,2675.33,346100.0,0.1727,12343.0,9.36,355.47,-41.6076,111.715,0.01555,5.453e-10,38080.0,3.03438e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,27.6903,0.2073,2005.2,2076000.0,0.1719,32693.0,49.12,49.84,69.9873,51.7577,0.0008429,1.108e-09,36480.0,8.59918e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.21,28.0062,0.2859,2747.94,879900.0,0.115,28740.0,46.94,5.86,58.9443,-56.7478,0.02519,3.976e-10,37020.0,7.42115e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.54,27.8461,0.1151,2091.04,889900.0,0.2259,37664.0,69.47,60.3,-46.9611,-84.1877,0.0006592,2.969e-09,37190.0,3.18751e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.14,25.5331,0.0396,1623.62,317600.0,0.2907,13922.0,43.84,30.89,55.7814,-66.5052,0.005572,3.871e-10,23940.0,4.51062e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.02,21.6534,0.0677,2016.64,450500.0,0.1988,23317.0,41.96,159.8,6.95816,-123.989,0.0008488,9.688e-10,9450.0,1.76091,244645.0,95315.4,53907.7,26866.9,24098.6,17593.5,10493.6,7091.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.89,23.2498,0.2723,2076.93,183400.0,0.1379,28136.0,35.47,266.79,-40.1405,-100.501,0.0009251,1.256e-09,24280.0,4.57535e-06,30169.5,6057.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.47,21.8884,0.4329,3248.08,2095000.0,0.1777,21939.0,73.27,48.13,28.4582,-86.8728,0.002115,7.245e-10,12140.0,0.00044362,72779.5,46503.2,26603.1,8760.15,4580.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.84,21.3163,0.2459,1105.05,975400.0,0.1627,18328.0,19.35,270.28,57.3337,-176.452,0.0007796,4.222e-08,28430.0,4.19393e-09,53242.4,28532.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.48,23.0431,0.0977,1807.95,1099000.0,0.2568,21461.0,52.42,252.09,-66.5404,-14.5453,0.01889,3.377e-09,17210.0,6.1061e-05,58520.5,41384.0,20250.2,0.0,34891.2,24591.8,12421.2,4375.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621.99,20.8928,0.02,2591.0,2001000.0,0.2234,24470.0,22.21,256.06,-32.8114,-50.3763,0.0004204,3.569e-09,5360.0,1833.98,339990.0,187406.0,106466.0,56333.3,69739.9,53697.3,37780.1,31472.5,4580410.0,182875.0,0.0,0.0,0.0,0.0,0.0,0.0,368042.0,12674.0,0.0
10.31,27.1811,0.2217,2774.41,3351000.0,0.294,20046.0,31.02,187.38,25.6646,23.9065,0.01142,3.147e-08,31490.0,3.77077e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
